Image Link,Name,Location,Type,Avg Cost,Area,Rooms,Description,Page No
https://mediacdn.99acres.com/media1/16332/4/326644272M-1635767134330.jpg,Kumar Palmcrest,Pisoli,Apartment,"₹ 44  - 44.69 L₹ 5,739/sq.ft.",766-778 sq.ft. (71-72 sq.m.) Carpet Area,2 BHK2 Baths,"Make Kumar Palmcrest your next home. This project offers 2 BHK flats in Pisoli, Pune. With a carpet area ranging from 766.39 sq. ft. to 778.77 sq. ft., these flats combine the finest design and amenities in Pune to provide a living experience unlike any other. It is an under construction project and is unique in its perfect harmony of classic form and modern construction. The features and the a...more",1
https://mediacdn.99acres.com/media1/17255/0/345100942M-1645075367693.jpg,Dreamland Allure,Wagholi,Apartment,"₹ 35.3  - 46.11 L₹ 5,028/sq.ft.",702-916 sq.ft. (65-85 sq.m.) Carpet Area,2 BHK2 Baths,"This well-known project offers 2 BHK apartments in Wagholi, Pune. With a carpet area, ranging from 702.0 sq. ft. to 916.85 sq. ft., the apartments are available at an economical price range of Rs. 35.3 Lac to Rs. 46.11 Lac. There are 1 towers. A close attention has been paid to each detail for a comfortable living. It has 24/7 Water Supply, Multipurpose Hall, Car Parking, Fire Fighting Systems,...more",1
https://mediacdn.99acres.com/media1/17170/16/343416240M-1644236667017.jpg,Ranjai Apartments,Shivane,Apartment,"₹ 45  - 50 L₹ 7,278/sq.ft.",632-671 sq.ft. (59-62 sq.m.) Carpet Area,2 BHK2 Baths,"The project offers 2 BHK apartments in Shivane, Pune. These apartments have a carpet area, ranging from 632.92 sq. ft. to 671.34 sq. ft. and are available at a price range starting from Rs. 45 Lac to Rs. 50 Lac. It is a ready to move project, with 1 towers and features an array of facilities including a Letter Box, Security Cabin, 24/7 Water Supply, Internal Street Lights, Children's Play Area....more",1
https://mediacdn.99acres.com/media1/16148/11/322971380M-1633938235990.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 25 L,475 sq.ft. (44 sq.m.) Carpet Area,1 BHK,"Make Kanha Vrundavan Heritage your next home. Book your 1 BHK flat in Saswad, Pune. With a carpet area of 475.44 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 1 BHK flat for Rs. 25 Lac. It is a new launch property which is unique in its perfect harmony of classic form and modern con...more",1
https://mediacdn.99acres.com/media1/16050/8/321008250M-1632986038014.jpg,Ganga New Town3.5 ★,Dhanori,Apartment,"₹ 42.24  - 43.79 L₹ 8,578/sq.ft.",492-510 sq.ft. (46-47 sq.m.) Carpet Area,1 BHK1 Bath,"Ganga New Town offers 1 BHK apartments in Dhanori, Pune, at an affordable price range of Rs. 42.24 Lac to Rs. 43.79 Lac. These are a ready to move apartments spreading across a carpet area of 492.56 sq. ft. - 510.32 sq. ft. There are a total of 16 towers in the project. The project offers inclusion of essential amenities like Landscape Garden, Power Back up Lift, Skating Rink, Gated Community, ...more",1
https://mediacdn.99acres.com/media1/16401/1/328021292M-1636630378643.jpg,Miravet District,Ravet,Apartment,₹ 66.2  - 68.18 L,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK,"This well-known project offers 2 BHK apartments in Ravet, Pune. With a carpet area, ranging from 842.28 sq. ft. to 869.83 sq. ft., the apartments are available at an economical price range of Rs. 66.2 Lac to Rs. 68.18 Lac. There are 4 towers. A close attention has been paid to each detail for a comfortable living. It has Amphitheatre, Yoga/Meditation Area, Sun Deck, Gated Community, 24x7 Securi...more",1
https://mediacdn.99acres.com/media1/16623/11/332471264M-1638782564116.jpg,Vivaan Park,Dhanori,Apartment,₹ 55.6  - 55.99 L,705-710 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at Vivaan Park, located in Dhanori, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 705.0 sq. ft. - 710.0 sq. ft., these are a new launch apartments. These are available at a price range of Rs. 55.6 Lac to Rs. 55.99 Lac. All the towers have with aesthetically crafted interiors as well as exteriors. The project has the latest amenities ...more",1
https://mediacdn.99acres.com/media1/16684/16/333696216M-1639377848364.jpg,Emerald City,Uruli Kanchan,Plot,"₹ 21  - 52.16 L₹ 2,099/sq.ft.","1,000-2,484 sq.ft. (93-231 sq.m.) Plot Area",,Invest in the best appreciating location of pune suburbs...!!! Emerald city is a gated community at urulikanchan spread over 10 acres having 160 sanctioned residential na plots. Emerald city is pmrda and collector approved residential na project which provides 70% and above bank loan facilities by leading private and nationalized banks. Emerald city is a ready to move in project with 20 plus ba...more,1
https://mediacdn.99acres.com/media1/16148/11/322971390M-1633938236075.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 35 L,669 sq.ft. (62 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Kanha Vrundavan Heritage. It offers an exclusive range of 2 BHK flats in Saswad, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 35 Lac and has a carpet area of 669.95 sq. ft. Kanha Vrundavan Heritage is a secured gated community that further has 24x7 security systems. It has round the clock power back up a...more",1
https://mediacdn.99acres.com/media1/16050/8/321008258M-1632986039022.jpg,Ganga New Town3.5 ★,Dhanori,Apartment,"₹ 71.93  - 76.64 L₹ 8,883/sq.ft.",809-862 sq.ft. (75-80 sq.m.) Carpet Area,2 BHK2 Baths,"Let your dream of owning a flat come true with Ganga New Town. It offers an exclusive range of 2 BHK flats in Dhanori, Pune. They are available at price of Rs. 71.93 Lac - Rs. 76.64 Lac and have a carpet area of 809.78 sq. ft. to 862.52 sq. ft. The project is a secured gated community that further has 24x7 security systems. It has round the clock water supply and features many more attractive f...more",1
https://mediacdn.99acres.com/media1/16609/17/332197606M-1638611957929.jpg,Anshul Kanvas,Wagholi,Apartment,"₹ 29 L₹ 6,054/sq.ft.",479 sq.ft. (45 sq.m.) Carpet Area,1 BHK1 Bath,"Let your dream of owning a flat come true with Anshul Kanvas. It offers an exclusive range of 1 BHK flats in Wagholi, Pune. We bring you an amazing deal of a 1 BHK that is currently available at price of Rs. 29 Lac and has a carpet area of 479.0 sq. ft. Anshul Kanvas is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as features man...more",1
https://mediacdn.99acres.com/media1/16328/1/326561198M-1635750360748.jpg,JK Realty Dhruvaa,Pimple Nilakh,Apartment,₹ 72.28  - 73.57 L,766-782 sq.ft. (71-73 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at JK Realty Dhruvaa, located in Pimple Nilakh, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 766.0 sq. ft. - 782.0 sq. ft., these are an under construction apartments. These are available at a price range of Rs. 72.28 Lac to Rs. 73.58 Lac. All the 1 towers have with aesthetically crafted interiors as well as exteriors. The project h...more",1
https://mediacdn.99acres.com/media1/17180/12/343612854M-1644322691940.jpg,SK Shreeyog,Ranjangaon,Apartment,"₹ 16 L₹ 2,601/sq.ft.",615 sq.ft. (57 sq.m.) Carpet Area,1 BHK,"Experience a new style of living with SK Shreeyog. It offers an exclusive range of 1 BHK apartments in Ranjangaon, Pune. Here is a steal deal for you. Book your 1 BHK apartment here at a never before price of Rs. 16 Lac. The unit has a carpet area of 615.0 sq. ft. This is a ready to move project. It has been designed keeping every small to large needs of residents in consideration. Plus, a comp...more",1
https://mediacdn.99acres.com/media1/16045/9/320909894M-1632918465980.jpg,Ganga Serio,Kharadi,Apartment,"₹ 92.09  - 95.3 L₹ 11,060/sq.ft.",832-861 sq.ft. (77-80 sq.m.) Carpet Area,2 BHK2 Baths,"Ganga Serio is a new launch project, offering 2 BHK flats in Kharadi, Pune. These flats have a carpet area in the range of 832.92 sq. ft. to 861.34 sq. ft. and are available at an economical price of Rs. 92.09 Lac - Rs. 95.3 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Internal Street Lights, Badmi...more",1
https://mediacdn.99acres.com/media1/17170/2/343402170M-1644232748175.jpg,Platinum Glory,Baner,Apartment,₹ 83.96  - 90.6 L,893-969 sq.ft. (83-90 sq.m.) Carpet Area,3 BHK2 Baths,"This well-known project offers 3 BHK apartments in Baner, Pune. With a carpet area, ranging from 893.92 sq. ft. to 969.35 sq. ft., the apartments are available at an economical price range of Rs. 83.96 Lac to Rs. 90.59 Lac.

A close attention has been paid to each detail for a comfortable living. It has , etc. Loaded with all the modern amenities, the project is certainly a steal deal.more",1
https://mediacdn.99acres.com/media1/15976/15/319535998M-1632297878842.jpg,Excellaa Tremont,Keshav Nagar,Apartment,₹ 49.99 L,624 sq.ft. (58 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Excellaa Tremont. It offers an exclusive range of 2 BHK flats in Keshav Nagar, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 49.99 Lac and has a carpet area of 624.0 sq. ft. Excellaa Tremont is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well a...more",1
https://mediacdn.99acres.com/media1/16045/9/320909898M-1632918465988.jpg,Ganga Serio,Kharadi,Apartment,"₹ 1.22  - 1.29 Cr₹ 11,216/sq.ft.","1,083-1,146 sq.ft. (101-106 sq.m.) Carpet Area",3 BHK3 Baths,"Make Ganga Serio your next home. This project offers 3 BHK flats in Kharadi, Pune. With a carpet area ranging from 1083.5 sq. ft. to 1146.58 sq. ft., these flats combine the finest design and amenities in Pune to provide a living experience unlike any other. It is a new launch project and is unique in its perfect harmony of classic form and modern construction. The features and the amenities li...more",1
https://mediacdn.99acres.com/media1/16112/4/322244218M-1633589122148.jpg,SBM Aviva,Hinjewadi,Apartment,"₹ 41  - 42.59 L₹ 8,816/sq.ft.",465-483 sq.ft. (43-45 sq.m.) Carpet Area,1 BHK1 Bath,"Own a 1 BHK apartment in SBM Aviva, Hinjewadi, Pune for a comfortable living. With a carpet area of 465.0 sq. ft. to 483.08 sq. ft., these 1 BHK apartments are available at a price range of Rs. 41 Lac to Rs. 42.59 Lac. SBM Aviva is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a DTH Television, Entrance Lobby, Power Back up L...more",1
https://mediacdn.99acres.com/media1/16164/12/323292492M-1634099472804.jpg,Gada Anutham,Hadapsar,Apartment,₹ 97 L - 1.12 Cr,846-963 sq.ft. (79-89 sq.m.) Carpet Area,3 BHK,"Experience a new style of living with Gada Anutham. The project offers an exclusive range of 3 BHK flats in Hadapsar, Pune at a price range of Rs. 97 Lac - Rs. 1.12 Crore. These flats have a carpet area ranging from 846.0 sq. ft. - 963.0sq. ft. It is an under construction project. The design is done keeping every small to large needs of residents in consideration. Plus, a comprehensive range of...more",1
https://mediacdn.99acres.com/media1/16164/12/323292490M-1634099472806.jpg,Gada Anutham,Hadapsar,Apartment,₹ 79  - 94 L,698-810 sq.ft. (65-75 sq.m.) Carpet Area,2 BHK,"Gada Anutham is an under construction project, offering 2 BHK flats in Hadapsar, Pune. These flats have a carpet area in the range of 698.0 sq. ft. to 810.0 sq. ft. and are available at an economical price of Rs. 79 Lac - Rs. 94 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Fire Fighting Systems, Po...more",1
https://mediacdn.99acres.com/media1/17254/16/345096574M-1645073612988.jpg,Gangotree Chandrahas,F C Road,Apartment,₹ 2.13 Cr,"1,020 sq.ft. (95 sq.m.) Carpet Area",3 BHK,"Book your 3 BHK apartment in Gangotree Chandrahas, F C Road, Pune. Having a carpet area of 1020.0 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include and what not. Now, you ca...more",1
https://mediacdn.99acres.com/media1/17099/13/341993880M-1643591300999.jpg,BG Associates Vrundavan Park,Dehu,Apartment,₹ 24 L,390 sq.ft. (36 sq.m.) Carpet Area,1 BHK,"Let your dream of owning a flat come true with BG Associates Vrundavan Park. It offers an exclusive range of 1 BHK flats in Dehu, Pune. We bring you an amazing deal of a 1 BHK that is currently available at price of Rs. 24 Lac and has a carpet area of 390.51 sq. ft. BG Associates Vrundavan Park is a secured gated community that further has 24x7 security systems. It has round the clock water sup...more",1
https://mediacdn.99acres.com/media1/16339/4/326784210M-1635848670399.jpg,Manav Wildwoods,Wagholi,Apartment,"₹ 42.04  - 44.69 L₹ 6,635/sq.ft.",630-675 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK2 Baths,"Book your 2 BHK apartment in Wagholi, Pune at a price ranging from Rs. 42.04 Lac to Rs. 44.69 Lac. The Manav Wildwoods hosts exclusively designed 3 towers, each presenting an epitome of class and simplicity. The residential apartments have a carpet area of 630.12 sq. ft. to 675.12 sq. ft. and are a new launch. With an impressive layout and a comprehensive range of amenities, like Earthquake Res...more",1
https://mediacdn.99acres.com/media1/17272/11/345451298M-1645186952168.jpg,Archana Kohinoor Glory,Mohamadwadi,Apartment,"₹ 58.46  - 69.08 L₹ 8,058/sq.ft.",720-863 sq.ft. (67-80 sq.m.) Carpet Area,2 BHK2 Baths,"Archana Kohinoor Glory is a ready to move project, offering 2 BHK flats in Mohamadwadi, Pune. These flats have a carpet area in the range of 720.0 sq. ft. to 863.0 sq. ft. and are available at an economical price of Rs. 58.46 Lac - Rs. 69.08 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Internal Str...more",1
https://mediacdn.99acres.com/media1/17005/13/340113600M-1642597565875.jpg,Elated Khushvista,NIBM,Apartment,₹ 48  - 48.27 L,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK2 Baths,"Enjoy a blissful living experience in Elated Khushvista. This residential project encompasses 2 BHK flats in NIBM, Pune and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like Wi-Fi Connectivity, Multipurpose Court, Gazebo, 24/7 Water Supply, 24x7 Security and many others. All of these and the other features make t...more",1
https://mediacdn.99acres.com/media1/16332/4/326644272M-1635767134330.jpg,Kumar Palmcrest,Pisoli,Apartment,"₹ 44  - 44.69 L₹ 5,739/sq.ft.",766-778 sq.ft. (71-72 sq.m.) Carpet Area,2 BHK2 Baths,"Make Kumar Palmcrest your next home. This project offers 2 BHK flats in Pisoli, Pune. With a carpet area ranging from 766.39 sq. ft. to 778.77 sq. ft., these flats combine the finest design and amenities in Pune to provide a living experience unlike any other. It is an under construction project and is unique in its perfect harmony of classic form and modern construction. The features and the a...more",2
https://mediacdn.99acres.com/media1/17255/0/345100942M-1645075367693.jpg,Dreamland Allure,Wagholi,Apartment,"₹ 35.3  - 46.11 L₹ 5,028/sq.ft.",702-916 sq.ft. (65-85 sq.m.) Carpet Area,2 BHK2 Baths,"This well-known project offers 2 BHK apartments in Wagholi, Pune. With a carpet area, ranging from 702.0 sq. ft. to 916.85 sq. ft., the apartments are available at an economical price range of Rs. 35.3 Lac to Rs. 46.11 Lac. There are 1 towers. A close attention has been paid to each detail for a comfortable living. It has 24/7 Water Supply, Multipurpose Hall, Car Parking, Fire Fighting Systems,...more",2
https://mediacdn.99acres.com/media1/17170/16/343416240M-1644236667017.jpg,Ranjai Apartments,Shivane,Apartment,"₹ 45  - 50 L₹ 7,278/sq.ft.",632-671 sq.ft. (59-62 sq.m.) Carpet Area,2 BHK2 Baths,"The project offers 2 BHK apartments in Shivane, Pune. These apartments have a carpet area, ranging from 632.92 sq. ft. to 671.34 sq. ft. and are available at a price range starting from Rs. 45 Lac to Rs. 50 Lac. It is a ready to move project, with 1 towers and features an array of facilities including a Letter Box, Security Cabin, 24/7 Water Supply, Internal Street Lights, Children's Play Area....more",2
https://mediacdn.99acres.com/media1/16148/11/322971380M-1633938235990.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 25 L,475 sq.ft. (44 sq.m.) Carpet Area,1 BHK,"Make Kanha Vrundavan Heritage your next home. Book your 1 BHK flat in Saswad, Pune. With a carpet area of 475.44 sq. ft., the flat combines the finest design and amenities in Pune to provide a living experience unlike any other. Here is an exclusive deal for you. Buy your 1 BHK flat for Rs. 25 Lac. It is a new launch property which is unique in its perfect harmony of classic form and modern con...more",2
https://mediacdn.99acres.com/media1/16623/11/332471264M-1638782564116.jpg,Vivaan Park,Dhanori,Apartment,₹ 55.6  - 55.99 L,705-710 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at Vivaan Park, located in Dhanori, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 705.0 sq. ft. - 710.0 sq. ft., these are a new launch apartments. These are available at a price range of Rs. 55.6 Lac to Rs. 55.99 Lac. All the towers have with aesthetically crafted interiors as well as exteriors. The project has the latest amenities ...more",2
https://mediacdn.99acres.com/media1/16684/16/333696216M-1639377848364.jpg,Emerald City,Uruli Kanchan,Plot,"₹ 21  - 52.16 L₹ 2,099/sq.ft.","1,000-2,484 sq.ft. (93-231 sq.m.) Plot Area",,Invest in the best appreciating location of pune suburbs...!!! Emerald city is a gated community at urulikanchan spread over 10 acres having 160 sanctioned residential na plots. Emerald city is pmrda and collector approved residential na project which provides 70% and above bank loan facilities by leading private and nationalized banks. Emerald city is a ready to move in project with 20 plus ba...more,2
https://mediacdn.99acres.com/media1/16623/11/332471274M-1638782564408.jpg,Vivaan Park,Dhanori,Apartment,₹ 72.44 L,940 sq.ft. (87 sq.m.) Carpet Area,3 BHK3 Baths,"Book your 3 BHK flat in Dhanori, Pune with Vivaan Park. It has a carpet area of 940.0 sq. ft. and is available at a price of Rs. 72.44 Lac.

It is a new launch property. Vivaan Park has features an array of facilities including a .more",2
https://mediacdn.99acres.com/media1/16148/11/322971390M-1633938236075.jpg,Kanha Vrundavan Heritage,Saswad,Apartment,₹ 35 L,669 sq.ft. (62 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Kanha Vrundavan Heritage. It offers an exclusive range of 2 BHK flats in Saswad, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 35 Lac and has a carpet area of 669.95 sq. ft. Kanha Vrundavan Heritage is a secured gated community that further has 24x7 security systems. It has round the clock power back up a...more",2
https://mediacdn.99acres.com/media1/16050/8/321008258M-1632986039022.jpg,Ganga New Town3.5 ★,Dhanori,Apartment,"₹ 71.93  - 76.64 L₹ 8,883/sq.ft.",809-862 sq.ft. (75-80 sq.m.) Carpet Area,2 BHK2 Baths,"Let your dream of owning a flat come true with Ganga New Town. It offers an exclusive range of 2 BHK flats in Dhanori, Pune. They are available at price of Rs. 71.93 Lac - Rs. 76.64 Lac and have a carpet area of 809.78 sq. ft. to 862.52 sq. ft. The project is a secured gated community that further has 24x7 security systems. It has round the clock water supply and features many more attractive f...more",2
https://mediacdn.99acres.com/media1/16609/17/332197606M-1638611957929.jpg,Anshul Kanvas,Wagholi,Apartment,"₹ 29 L₹ 6,054/sq.ft.",479 sq.ft. (45 sq.m.) Carpet Area,1 BHK1 Bath,"Let your dream of owning a flat come true with Anshul Kanvas. It offers an exclusive range of 1 BHK flats in Wagholi, Pune. We bring you an amazing deal of a 1 BHK that is currently available at price of Rs. 29 Lac and has a carpet area of 479.0 sq. ft. Anshul Kanvas is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well as features man...more",2
https://mediacdn.99acres.com/media1/16328/1/326561198M-1635750360748.jpg,JK Realty Dhruvaa,Pimple Nilakh,Apartment,₹ 72.28  - 73.57 L,766-782 sq.ft. (71-73 sq.m.) Carpet Area,2 BHK2 Baths,"Live in a world of comfort and style at JK Realty Dhruvaa, located in Pimple Nilakh, Pune. Book your 2 BHK apartment now. Sprawling across a carpet area of 766.0 sq. ft. - 782.0 sq. ft., these are an under construction apartments. These are available at a price range of Rs. 72.28 Lac to Rs. 73.58 Lac. All the 1 towers have with aesthetically crafted interiors as well as exteriors. The project h...more",2
https://mediacdn.99acres.com/media1/17005/13/340113600M-1642597565875.jpg,Elated Khushvista,NIBM,Apartment,₹ 48  - 48.27 L,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK2 Baths,"Enjoy a blissful living experience in Elated Khushvista. This residential project encompasses 2 BHK flats in NIBM, Pune and brings you the best of both the worlds – excellent aesthetics and exemplary lifestyle. Its unique highlights include facilities like Wi-Fi Connectivity, Multipurpose Court, Gazebo, 24/7 Water Supply, 24x7 Security and many others. All of these and the other features make t...more",2
https://mediacdn.99acres.com/media1/16045/9/320909894M-1632918465980.jpg,Ganga Serio,Kharadi,Apartment,"₹ 92.09  - 95.3 L₹ 11,060/sq.ft.",832-861 sq.ft. (77-80 sq.m.) Carpet Area,2 BHK2 Baths,"Ganga Serio is a new launch project, offering 2 BHK flats in Kharadi, Pune. These flats have a carpet area in the range of 832.92 sq. ft. to 861.34 sq. ft. and are available at an economical price of Rs. 92.09 Lac - Rs. 95.3 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Internal Street Lights, Badmi...more",2
https://mediacdn.99acres.com/media1/17170/2/343402170M-1644232748175.jpg,Platinum Glory,Baner,Apartment,₹ 83.96  - 90.6 L,893-969 sq.ft. (83-90 sq.m.) Carpet Area,3 BHK2 Baths,"This well-known project offers 3 BHK apartments in Baner, Pune. With a carpet area, ranging from 893.92 sq. ft. to 969.35 sq. ft., the apartments are available at an economical price range of Rs. 83.96 Lac to Rs. 90.59 Lac.

A close attention has been paid to each detail for a comfortable living. It has , etc. Loaded with all the modern amenities, the project is certainly a steal deal.more",2
https://mediacdn.99acres.com/media1/15976/15/319535998M-1632297878842.jpg,Excellaa Tremont,Keshav Nagar,Apartment,₹ 49.99 L,624 sq.ft. (58 sq.m.) Carpet Area,2 BHK,"Let your dream of owning a flat come true with Excellaa Tremont. It offers an exclusive range of 2 BHK flats in Keshav Nagar, Pune. We bring you an amazing deal of a 2 BHK that is currently available at price of Rs. 49.99 Lac and has a carpet area of 624.0 sq. ft. Excellaa Tremont is a secured gated community that further has 24x7 security systems. It has round the clock power back up as well a...more",2
https://mediacdn.99acres.com/media1/16045/9/320909898M-1632918465988.jpg,Ganga Serio,Kharadi,Apartment,"₹ 1.22  - 1.29 Cr₹ 11,216/sq.ft.","1,083-1,146 sq.ft. (101-106 sq.m.) Carpet Area",3 BHK3 Baths,"Make Ganga Serio your next home. This project offers 3 BHK flats in Kharadi, Pune. With a carpet area ranging from 1083.5 sq. ft. to 1146.58 sq. ft., these flats combine the finest design and amenities in Pune to provide a living experience unlike any other. It is a new launch project and is unique in its perfect harmony of classic form and modern construction. The features and the amenities li...more",2
https://mediacdn.99acres.com/media1/16112/4/322244218M-1633589122148.jpg,SBM Aviva,Hinjewadi,Apartment,"₹ 41  - 42.59 L₹ 8,816/sq.ft.",465-483 sq.ft. (43-45 sq.m.) Carpet Area,1 BHK1 Bath,"Own a 1 BHK apartment in SBM Aviva, Hinjewadi, Pune for a comfortable living. With a carpet area of 465.0 sq. ft. to 483.08 sq. ft., these 1 BHK apartments are available at a price range of Rs. 41 Lac to Rs. 42.59 Lac. SBM Aviva is meticulously designed to bring you an awe-inspiring lifestyle and convenience. It hosts a series of facilities like a DTH Television, Entrance Lobby, Power Back up L...more",2
https://mediacdn.99acres.com/media1/16164/12/323292492M-1634099472804.jpg,Gada Anutham,Hadapsar,Apartment,₹ 97 L - 1.12 Cr,846-963 sq.ft. (79-89 sq.m.) Carpet Area,3 BHK,"Experience a new style of living with Gada Anutham. The project offers an exclusive range of 3 BHK flats in Hadapsar, Pune at a price range of Rs. 97 Lac - Rs. 1.12 Crore. These flats have a carpet area ranging from 846.0 sq. ft. - 963.0sq. ft. It is an under construction project. The design is done keeping every small to large needs of residents in consideration. Plus, a comprehensive range of...more",2
https://mediacdn.99acres.com/media1/16164/12/323292490M-1634099472806.jpg,Gada Anutham,Hadapsar,Apartment,₹ 79  - 94 L,698-810 sq.ft. (65-75 sq.m.) Carpet Area,2 BHK,"Gada Anutham is an under construction project, offering 2 BHK flats in Hadapsar, Pune. These flats have a carpet area in the range of 698.0 sq. ft. to 810.0 sq. ft. and are available at an economical price of Rs. 79 Lac - Rs. 94 Lac. It is well connected to the city areas and features a large number of amenities to fit your needs. It is equipped with highlights such as Fire Fighting Systems, Po...more",2
https://mediacdn.99acres.com/media1/17254/16/345096574M-1645073612988.jpg,Gangotree Chandrahas,F C Road,Apartment,₹ 2.13 Cr,"1,020 sq.ft. (95 sq.m.) Carpet Area",3 BHK,"Book your 3 BHK apartment in Gangotree Chandrahas, F C Road, Pune. Having a carpet area of 1020.0 sq. ft., the property is well ventilated and promises an exclusive view and refreshing vibes. The project is a superbly designed project set amidst excellent surroundings and offers residents a world-class infrastructure. Look at its range of general amenities that include and what not. Now, you ca...more",2
https://mediacdn.99acres.com/media1/17099/13/341993880M-1643591300999.jpg,BG Associates Vrundavan Park,Dehu,Apartment,₹ 24 L,390 sq.ft. (36 sq.m.) Carpet Area,1 BHK,"Let your dream of owning a flat come true with BG Associates Vrundavan Park. It offers an exclusive range of 1 BHK flats in Dehu, Pune. We bring you an amazing deal of a 1 BHK that is currently available at price of Rs. 24 Lac and has a carpet area of 390.51 sq. ft. BG Associates Vrundavan Park is a secured gated community that further has 24x7 security systems. It has round the clock water sup...more",2
https://mediacdn.99acres.com/media1/16335/0/326700640M-1635830110982.jpg,Sai Plots,Lohegaon,Plot,"₹ 20 L₹ 2,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Plot Area",,"Sai plots in lohegaon, pune by sai developer pune is a residential project. The project offers land with perfect combination of contemporary architecture and features to provide comfortable living. The size of the land is from 92.9 sq. Mt to 185.8 sq. Mt Price starting from rs. 15.00 lacs. It is a ready to move project. The project is spread over a total area of 12 acres of land. About city: Pu...more",2
https://mediacdn.99acres.com/media1/16339/4/326784210M-1635848670399.jpg,Manav Wildwoods,Wagholi,Apartment,"₹ 42.04  - 44.69 L₹ 6,635/sq.ft.",630-675 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK2 Baths,"Book your 2 BHK apartment in Wagholi, Pune at a price ranging from Rs. 42.04 Lac to Rs. 44.69 Lac. The Manav Wildwoods hosts exclusively designed 3 towers, each presenting an epitome of class and simplicity. The residential apartments have a carpet area of 630.12 sq. ft. to 675.12 sq. ft. and are a new launch. With an impressive layout and a comprehensive range of amenities, like Earthquake Res...more",3
https://mediacdn.99acres.com/media1/16112/4/322244222M-1633589122167.jpg,SBM Aviva,Hinjewadi,Apartment,"₹ 58 L₹ 9,324/sq.ft.",622 sq.ft. (58 sq.m.) Carpet Area,2 BHK2 Baths,"Book a spectacular property in SBM Aviva that brings 2 BHK apartments in Hinjewadi, Pune. We have a 2 BHK apartment with a carpet area of 622.0 sq. ft., available at an economical price of Rs. 58 Lac. A close attention has been paid to each detail for a comfortable living. There are 2 towers in SBM Aviva. Further, you can stay assured of Entrance Lobby, Garbage Disposal, Rain Water Harvesting, ...more",3
https://mediacdn.99acres.com/media1/16685/7/333707350M-1639379844085.jpg,Newton Homes Tathawade,Tathawade,Apartment,₹ 51.69  - 60 L,659-732 sq.ft. (61-68 sq.m.) Carpet Area,2 BHK,"Experience a new style of living with Newton Homes Tathawade. The project offers an exclusive range of 2 BHK flats in Tathawade, Pune at a price range of Rs. 51.69 Lac - Rs. 60 Lac. These flats have a carpet area ranging from 659.0 sq. ft. - 732.0sq. ft. It is an under construction project. The design is done keeping every small to large needs of residents in consideration. Plus, a comprehensiv...more",3
https://mediacdn.99acres.com/media1/16685/7/333707346M-1639379844072.jpg,Newton Homes Tathawade,Tathawade,Apartment,₹ 39 L,491 sq.ft. (46 sq.m.) Carpet Area,1 BHK,"Newton Homes Tathawade is a residential project, offering a range of 1 BHK flats in Tathawade, Pune. It hosts exclusively designed 3 towers, each presenting an epitome of class and simplicity. We bring you a chance to book your 1 BHK flat that has a carpet area of 491.0 sq. ft. It is an under construction property. With an impressive layout and a comprehensive range of amenities like Table Tenn...more",3
